name,address,visit
BaiKu Sushi Lounge,3407 Olive St,3/20/18
Cafe Mochi,3221 S Grand Boulevard,10/10/18
Drunken Fish - Ballpark Village,601 Clark Ave #104,4/28/18
Drunken Fish - Ballpark Village,601 Clark Ave Suite 104,5/10/18
Drunken Fish - Ballpark Village,601 Clark Ave Suite 104,8/7/18
Drunken Fish - Central West End,1 Maryland Plaza,12/2/18
Kampai Sushi Bar,4949 W Pine Blvd,2/13/18
Midtown Sushi & Ramen,3674 Forest Park Ave,3/4/18
Mizu Sushi Bar,1013 Washington Avenue,9/12/18
Sapporo 2,3043 Olive St,3/1/18
Sapporo 2,3043 Olive St,7/3/18
Sub Zero Vodka Bar,308 N Euclid Ave,12/7/18
Sushi Ai,910 Olive St,3/29/18
Sushi Ai,910 Olive St,5/20/18
Sushi Ai,910 Olive Street,6/17/18
Sushi Ai,910 Olive Street,8/25/18
Sushi Ai,910 Olive Street,10/30/18
SUSHI KOI,4 N EUCLID AVE,1/17/18
